scope,scope_key,support_multiplier,rho_endpoint,architecture,family,family_label,seed,attack_nauc,noise_nauc,noise_minus_attack_gap
cross,all,1,0.087345571591429264,vits_amp,learned,Learned,789,0.78793990987258389,0.99700618748729364,0.20906627761470975
cross,all,1,0.087345571591429264,vits_amp,learned,Learned,1011,0.6659230818586368,0.9980656678610772,0.3321425860024404
cross,all,1,0.087345571591429264,vits_amp,learned,Learned,1213,0.72668308874682219,0.99840631129155655,0.27172322254473436
cross,all,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,42,0.68771454564931955,0.9986000847876757,0.31088553913835615
cross,all,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,123,0.74737097445423195,1.0009374037935581,0.25356642933932616
cross,all,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,456,0.70253372110925727,0.99893896852978736,0.29640524742053009
cross,all,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,789,0.71067657068336143,0.99984310729978609,0.28916653661642466
cross,all,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,1011,0.7158824494089765,0.99973343184297891,0.28385098243400242
cross,all,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,1213,0.71804899472040584,0.99633775902163646,0.27828876430123062
cross,all,1,0.087345571591429264,vits_amp,rope,RoPE,42,0.80903465842981936,0.99929242864309842,0.19025777021327905
cross,all,1,0.087345571591429264,vits_amp,rope,RoPE,123,0.88611587009884762,0.99879704917246448,0.11268117907361686
cross,all,1,0.087345571591429264,vits_amp,rope,RoPE,456,0.8002886045149934,0.99969934858659582,0.19941074407160242
cross,all,1,0.087345571591429264,vits_amp,rope,RoPE,789,0.9495485085685833,0.99936295921852858,0.049814450649945274
cross,all,1,0.087345571591429264,vits_amp,rope,RoPE,1011,0.8834837134225032,0.9992239897262325,0.11574027630372929
cross,all,1,0.087345571591429264,vits_amp,rope,RoPE,1213,0.84763950298300439,0.99887969732337178,0.1512401943403674
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,learned,Learned,42,0.99762312177082291,0.99961981507211228,0.0019966933012893762
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,learned,Learned,123,0.99500347666967459,0.99750101920559087,0.0024975425359162751
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,learned,Learned,456,0.99070656391697975,0.99881527550820337,0.0081087115912236163
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,learned,Learned,789,0.99419286055065303,0.99919272498540046,0.0049998644347474253
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,learned,Learned,1011,0.99364234676320595,0.99746229746809267,0.0038199507048867209
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,learned,Learned,1213,0.99586515126312891,0.99753521944798784,0.0016700681848589305
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,sinusoidal,Sinusoidal,42,0.89103049837693737,0.99918452068467623,0.10815402230773885
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,sinusoidal,Sinusoidal,123,0.90902041908174491,0.99872705454807675,0.089706635466331841
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,sinusoidal,Sinusoidal,456,0.91971456968544518,0.99846681257184067,0.078752242886395485
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,sinusoidal,Sinusoidal,789,0.9110936306732943,0.99672955905921534,0.085635928385921045
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,sinusoidal,Sinusoidal,1011,0.90051240945548039,0.99810664133810667,0.097594231882626281
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,sinusoidal,Sinusoidal,1213,0.9000229205769591,0.99951509527683757,0.099492174699878477
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,rope,RoPE,42,0.9711623727273152,0.99850992881076339,0.027347556083448188
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,rope,RoPE,123,0.96500734729819249,0.99909224234556637,0.034084895047373887
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,rope,RoPE,456,0.96934948118563358,0.99945791261376471,0.030108431428131133
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,rope,RoPE,789,0.95358298722236234,0.99962862735139724,0.046045640129034893
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,rope,RoPE,1011,0.9780219571758122,0.99872651234564225,0.020704555169830052
cross,all,0.90000000000000002,0.078611014432286339,vitb_amp,rope,RoPE,1213,0.96850180727179369,0.99963028054981906,0.03112847327802537
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,learned,Learned,42,0.91196768817975626,0.99737787471878381,0.085410186539027544
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,learned,Learned,123,0.85203199689093911,0.99794589706202608,0.14591390017108696
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,learned,Learned,456,0.83067043477008495,0.99521039364413533,0.16453995887405037
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,learned,Learned,789,0.84274422297326446,0.99722898844179508,0.15448476546853063
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,learned,Learned,1011,0.69933077367277319,0.99833161272946858,0.29900083905669539
