dataset,family,seed,budget,rho,accuracy,attack_loss,sources,source_classes,architecture,source_index
imagenet,rope,1213,0.012500000000000001,0.021592395845656798,0.997945908935296,0.71857780176214869,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,0
imagenet,rope,1213,0.025000000000000001,0.035440436003603401,0.99041424169804837,0.75224097399041057,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_rope.json,base,vitb_amp,1
imagenet,rope,1213,0.037499999999999999,0.049690849029610303,0.96576514892160203,0.8216873661614954,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,2
imagenet,rope,1213,0.050000000000000003,0.075327815777391199,0.90140362889421421,1.0638451628386971,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_rope.json,base,vitb_amp,3
imagenet,rope,1213,0.059999999999999998,0.1009602953275255,0.73639164669633683,1.6411880056373775,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_rope.json,base,vitb_amp,4
imagenet,rope,1213,0.070000000000000007,0.11961863183809129,0.43135912358781231,2.952264875918627,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_rope.json,base,vitb_amp,5
imagenet,rope,1213,0.074999999999999997,0.12880778342058749,0.2916809311879493,3.648555536568165,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_rope.json,base,vitb_amp,6
imagenet,rope,1213,0.080000000000000002,0.13550486357008071,0.1807600136939404,4.2028275221586231,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_rope.json,base,vitb_amp,7
imagenet,rope,1213,0.089999999999999997,0.14734749411013021,0.085587127695994497,4.778904719650745,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_rope.json,base,vitb_amp,8
imagenet,rope,1213,0.10000000000000001,0.15863692245894909,0.065730914070523797,5.0565743491053583,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_rope.json,base,vitb_amp,9
imagenet,sinusoidal,42,0.0025000000000000001,0.0066774603206963996,0.99047282992237118,0.91520507410168639,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_sinusoidal.json,base,vitb_amp,0
imagenet,sinusoidal,42,0.0050000000000000001,0.022321427564031,0.9650670430486944,1.0318757281638682,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_sinusoidal.json,base,vitb_amp,1
imagenet,sinusoidal,42,0.0060000000000000001,0.040295958457728702,0.93648553281580804,1.1304938427172602,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_sinusoidal.json,base,vitb_amp,2
imagenet,sinusoidal,42,0.0070000000000000001,0.061932707647302201,0.83627381792519406,1.4848722121678293,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_sinusoidal.json,base,vitb_amp,3
imagenet,sinusoidal,42,0.0080000000000000002,0.078245309954484393,0.58856739590684537,2.4109713833779098,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_sinusoidal.json,base,vitb_amp,4
imagenet,sinusoidal,42,0.0089999999999999993,0.087405856712865895,0.33521524347212411,3.4406072653830053,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_sinusoidal.json,base,vitb_amp,5
imagenet,sinusoidal,42,0.01,0.093764086015745499,0.17607621736062101,4.2751954376697539,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_sinusoidal.json,base,vitb_amp,6
imagenet,sinusoidal,42,0.02,0.098674872144157502,0.022582921665490401,7.0771300464868547,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_sinusoidal.json,base,vitb_amp,7
imagenet,sinusoidal,123,0.0025000000000000001,0.0070253496644224001,0.98829787234042565,0.92923133005388081,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_sinusoidal.json,base,vitb_amp,0
imagenet,sinusoidal,123,0.0050000000000000001,0.022136428389108499,0.96241134751773061,1.0609255641233175,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_sinusoidal.json,base,vitb_amp,1
imagenet,sinusoidal,123,0.0060000000000000001,0.047830075028697197,0.92446808510638301,1.1626625802833588,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_sinusoidal.json,base,vitb_amp,2
imagenet,sinusoidal,123,0.0070000000000000001,0.075575804134678196,0.75496453900709226,1.6669844878837463,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_sinusoidal.json,base,vitb_amp,3
imagenet,sinusoidal,123,0.0080000000000000002,0.088097816001208001,0.498581560283688,2.6184141539037227,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_sinusoidal.json,base,vitb_amp,4
imagenet,sinusoidal,123,0.0089999999999999993,0.093654432658741196,0.3067375886524823,3.4163462907075881,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_sinusoidal.json,base,vitb_amp,5
