dataset,pe_type,seed,direction,kind,functional_gain,probe_radius,rho_rel_calibration,rho_rel_heldout,delta_ce,damage_efficiency,parameter_radius_global_rms,parameter_space_cosine_to_task_gradient,attention_task_alignment_cosine,source_file
cifar,alibi,123,random_07,gaussian random,4.442574315237049,0.0001,0.0297374839266976,0.0297202218049846,0.0113409012556076,0.3815887152533134,0.0067528414543582,0.1141421124339103,0.0001016044462858,cifar_seeds_42_123.json
cifar,alibi,123,random_08,gaussian random,4.389954801809544,0.0001,0.0297977147297441,0.0298078287133779,0.0230042189359664,0.7717509100433751,0.0068337833427428,-0.0921900495886802,0.0001360800843957,cifar_seeds_42_123.json
cifar,alibi,123,random_09,gaussian random,4.411974141480679,0.0001,0.0297065771431598,0.0297055793974419,0.0171764492988586,0.5782230021185109,0.0067996772052548,0.1340866833925247,8.518377872792867e-05,cifar_seeds_42_123.json
cifar,alibi,123,random_10,gaussian random,4.8504589032014085,0.0001,0.0296692755592511,0.0293990418299718,0.0259966254234313,0.8842677789902741,0.0061849817921762,0.6116275787353516,0.0003064684799707,cifar_seeds_42_123.json
cifar,alibi,123,random_11,gaussian random,4.361241170702439,0.0001,0.0296390472472576,0.0296292655259719,0.0002269744873046,0.0076604830823676,0.0068787757488696,-0.0052044684998691,-4.61687053770292e-05,cifar_seeds_42_123.json
cifar,alibi,123,random_12,gaussian random,4.541677535848804,0.0001,0.029666770724582,0.0295959250570217,-0.0027315914630889,-0.0922962015151104,0.0066054887788049,-0.1066368818283081,-9.17996019091498e-05,cifar_seeds_42_123.json
cifar,alibi,123,random_13,gaussian random,4.31573719578601,0.0001,0.0297035284145624,0.0297269119101728,-0.0101364105939865,-0.3409843116101719,0.0069513037145294,-0.1721028536558151,-0.0002316196906335,cifar_seeds_42_123.json
cifar,alibi,123,random_14,gaussian random,4.434153628595089,0.0001,0.0297838236518653,0.0297202797582056,-0.0083256810903549,-0.2801346810356398,0.0067656654488773,-0.5172199606895447,-0.0001640806784152,cifar_seeds_42_123.json
cifar,alibi,123,random_15,gaussian random,4.28789642836017,0.0001,0.0297455772053013,0.0297487766081395,0.002503678202629,0.0841607114002819,0.0069964376475093,0.0782772749662399,2.9737544476074764e-05,cifar_seeds_42_123.json
cifar,alibi,123,random_16,gaussian random,4.889577224891809,0.0001,0.0296740305677891,0.0294502536977114,0.0258146226406097,0.8765500937812224,0.0061354997825325,0.2160392105579376,0.0002695800598785,cifar_seeds_42_123.json
