scope,endpoint_multiplier,endpoint,architecture,family,seed,noise_nauc,adversarial_nauc,adversarial_raw_nauc,gap,raw_gap
cross,1.0,0.07923839733806452,vitb,learned,1011,0.9974368139653962,0.9935822054711331,0.9936437115873489,0.003854608494263112,0.0037931023780473083
cross,0.9,0.07131455760425807,vitb,learned,1011,0.997745889607197,0.9943221583527299,0.9943904984818586,0.003423731254467155,0.003355391125338447
cross,0.75,0.05942879800354839,vitb,learned,1011,0.9981556247759144,0.9953307688263094,0.995412776981264,0.0028248559496049097,0.0027428477946503937
vitb,1.0,0.0957481143921283,vitb,learned,1011,0.996744061413605,0.9919280225966435,0.9919789232969483,0.004816038816961576,0.004765138116656797
vitb,0.9,0.08617330295291548,vitb,learned,1011,0.9971462394108351,0.9929026848576692,0.9929592411913413,0.00424355455316594,0.004186998219493865
vitb,0.75,0.07181108579409623,vitb,learned,1011,0.9977274145652606,0.9942771617651701,0.9943450293655767,0.003450252800090481,0.003382385199683924
cross,1.0,0.07923839733806452,vitb,learned,1213,0.9974981227927152,0.995818960912401,0.995818960912401,0.0016791618803142505,0.0016791618803142505
cross,0.9,0.07131455760425807,vitb,learned,1213,0.9979598055461756,0.9963918860798896,0.9963918860798896,0.001567919466285983,0.001567919466285983
cross,0.75,0.05942879800354839,vitb,learned,1213,0.9986157867703244,0.9971949346515022,0.9971949346515022,0.0014208521188221468,0.0014208521188221468
vitb,1.0,0.0957481143921283,vitb,learned,1213,0.9965247617462624,0.9945653324022665,0.9945653324022665,0.0019594293439958443,0.0019594293439958443
vitb,0.9,0.08617330295291548,vitb,learned,1213,0.9970865970775032,0.995300535475419,0.995300535475419,0.0017860616020842768,0.0017860616020842768
vitb,0.75,0.07181108579409623,vitb,learned,1213,0.9979313534619,0.996356715393593,0.996356715393593,0.0015746380683069328,0.0015746380683069328
cross,1.0,0.07923839733806452,vitb,sinusoidal,42,0.9991888578031003,0.8884869248770102,0.8884869248770102,0.1107019329260901,0.1107019329260901
cross,0.9,0.07131455760425807,vitb,sinusoidal,42,0.9991366543643937,0.9168884840171967,0.9168884840171967,0.082248170347197,0.082248170347197
cross,0.75,0.05942879800354839,vitb,sinusoidal,42,0.9990722169058075,0.9440122283501351,0.9440122283501351,0.0550599885556724,0.0550599885556724
vitb,1.0,0.0957481143921283,vitb,sinusoidal,42,0.9992745084734497,0.7934973202521469,0.7934973202521469,0.20577718822130275,0.20577718822130275
vitb,0.9,0.08617330295291548,vitb,sinusoidal,42,0.9992387315091865,0.8544225965080746,0.8544225965080746,0.1448161350011119,0.1448161350011119
vitb,0.75,0.07181108579409623,vitb,sinusoidal,42,0.9991397458104592,0.9153199759021008,0.9153199759021008,0.08381976990835838,0.08381976990835838
cross,1.0,0.07923839733806452,vitb,sinusoidal,123,0.9987237492678716,0.9072577632799039,0.9072577632799039,0.09146598598796762,0.09146598598796762
cross,0.9,0.07131455760425807,vitb,sinusoidal,123,0.9987649675144834,0.925327149368846,0.925327149368846,0.07343781814563743,0.07343781814563743
cross,0.75,0.05942879800354839,vitb,sinusoidal,123,0.9988239537695399,0.9469319104297288,0.9469319104297288,0.05189204333981112,0.05189204333981112
vitb,1.0,0.0957481143921283,vitb,sinusoidal,123,0.9986065193071079,0.8309370441968051,0.8312013151563352,0.16766947511030272,0.16740520415077265
vitb,0.9,0.08617330295291548,vitb,sinusoidal,123,0.9986867946080257,0.8832534679706696,0.8832534679706696,0.11543332663735606,0.11543332663735606
vitb,0.75,0.07181108579409623,vitb,sinusoidal,123,0.9987624215001445,0.9243187125177499,0.9243187125177499,0.07444370898239461,0.07444370898239461
cross,1.0,0.07923839733806452,vitb,sinusoidal,456,0.998452508489184,0.9185321640274888,0.9185321640274888,0.07992034446169516,0.07992034446169516
cross,0.9,0.07131455760425807,vitb,sinusoidal,456,0.9986340283628892,0.9325894810478952,0.9325894810478952,0.06604454731499398,0.06604454731499398
cross,0.75,0.05942879800354839,vitb,sinusoidal,456,0.998910937997405,0.9489540572491462,0.9489540572491462,0.04995688074825888,0.04995688074825888
vitb,1.0,0.0957481143921283,vitb,sinusoidal,456,0.9980661077618139,0.863304652904487,0.863304652904487,0.13476145485732693,0.13476145485732693
vitb,0.9,0.08617330295291548,vitb,sinusoidal,456,0.9982950405487137,0.9031241800230424,0.9031241800230424,0.09517086052567125,0.09517086052567125
vitb,0.75,0.07181108579409623,vitb,sinusoidal,456,0.9986225938478026,0.9317698130600901,0.9317698130600901,0.0668527807877125,0.0668527807877125
cross,1.0,0.07923839733806452,vitb,sinusoidal,789,0.9967084504848605,0.9095927501116526,0.9095927501116526,0.08711570037320782,0.08711570037320782
cross,0.9,0.07131455760425807,vitb,sinusoidal,789,0.9969783978595338,0.925976908429272,0.925976908429272,0.07100148943026174,0.07100148943026174
cross,0.75,0.05942879800354839,vitb,sinusoidal,789,0.9974013451795036,0.9403871772529893,0.9403871772529893,0.05701416792651437,0.05701416792651437
