regime,family,seed,budget,rho,accuracy,accuracy_percent,attack_loss,restart_loss_min,restart_loss_max,restart_loss_spread,source_index
full_fp32_trained,learned,456,0.0045,0.04241818509534331,0.9065145380934856,71.10277136258661,1.3505627436563372,1.3505000546108932,1.3505627436563372,6.268904544404208e-05,3
full_fp32_trained,learned,456,0.005,0.06588845150124921,0.7331615752668385,57.505773672055426,1.8508326789364218,1.8507699517533183,1.8508326789364218,6.272718310351699e-05,4
full_fp32_trained,learned,456,0.006,0.10238845985618027,0.11409642988590357,8.94919168591224,4.387433254718781,4.387377300858498,4.387433254718781,5.595386028289795e-05,5
full_fp32_trained,learned,456,0.008,0.09784979098537745,0.07655502392344497,6.0046189376443415,5.379906190931797,5.285309025645256,5.379906190931797,0.09459716528654027,6
full_fp32_trained,learned,789,0.0,0.0,1.0,77.3960739030023,,,,0.0,0
full_fp32_trained,learned,789,0.003,0.017914958421677316,0.977993286087281,75.69284064665128,1.1494430915918201,1.1494092162232845,1.1494430915918201,3.3875368535607464e-05,1
full_fp32_trained,learned,789,0.004,0.030458684024527043,0.9406937709809774,72.80600461893765,1.2637551645748317,1.263720581959933,1.2637551645748317,3.458261489863723e-05,2
full_fp32_trained,learned,789,0.0045,0.040037149497324724,0.9082431928384931,70.29445727482678,1.373753613466397,1.3737078883685172,1.373753613466397,4.572509787981183e-05,3
full_fp32_trained,learned,789,0.005,0.1280946161241568,0.16337187616560986,12.644341801385682,4.1583082810044285,4.156530597805977,4.1583082810044285,0.0017776831984512853,4
full_fp32_trained,learned,789,0.006,0.08001014400538739,0.4196195449459157,32.47690531177829,3.2189123779535294,3.2188733965158463,3.2189123779535294,3.898143768310547e-05,5
full_fp32_trained,learned,789,0.008,0.09458625563274876,0.08429690414024618,6.524249422632795,5.605916638672352,5.605846473574639,5.605916638672352,7.016509771329282e-05,6
full_fp32_trained,learned,1011,0.0,0.0,1.0,78.31986143187066,,,,0.0,0
full_fp32_trained,learned,1011,0.003,0.019722159927959816,0.9683007740508663,75.83718244803696,1.1513995929155498,1.1513655721675604,1.1513995929155498,3.402074798941612e-05,1
full_fp32_trained,learned,1011,0.004,0.03503847649128152,0.918908956874309,71.9688221709007,1.2862844382412733,1.286247772630304,1.2862844382412733,3.666561096915544e-05,2
full_fp32_trained,learned,1011,0.0045,0.04782883447000917,0.8650939918908958,67.7540415704388,1.4579517371021211,1.457899932190776,1.4579517371021211,5.1804911345154636e-05,3
full_fp32_trained,learned,1011,0.005,0.06322389538484961,0.7180243273129379,56.235565819861435,1.9749720402061939,1.9748944552615284,1.9749720402061939,7.758494466547639e-05,4
full_fp32_trained,learned,1011,0.006,0.10621422160310269,0.06745300405455217,5.2829099307159355,4.734667325019837,4.678834460675716,4.734667325019837,0.05583286434412038,5
full_fp32_trained,learned,1011,0.008,0.10134649515419336,0.04349428676741615,3.4064665127020786,5.824423256516456,5.824388724565506,5.824423256516456,3.453195095026729e-05,6
full_fp32_trained,learned,1213,0.0,0.0,1.0,77.7136258660508,,,,0.0,0
full_fp32_trained,learned,1213,0.003,0.016935119411115303,0.974368499257058,75.7217090069284,1.1747275442350655,1.1746931865811348,1.1747275442350655,3.435765393078327e-05,1
full_fp32_trained,learned,1213,0.004,0.028735124567858754,0.9450222882615156,73.44110854503464,1.280558774061501,1.2805114471819252,1.280558774061501,4.732687957575976e-05,2
full_fp32_trained,learned,1213,0.0045,0.04032130151068322,0.9104754829123328,70.75635103926096,1.3795911278575659,1.3795492622535677,1.3795911278575659,4.1865603998214596e-05,3
full_fp32_trained,learned,1213,0.005,0.055304736951395705,0.8298662704309063,64.4919168591224,1.6103549589402975,1.6103177465498448,1.6103549589402975,3.721239045262337e-05,4
full_fp32_trained,learned,1213,0.006,0.0858183096310339,0.3395245170876672,26.38568129330254,3.3740031607449055,3.3739490538835524,3.3740031607449055,5.410686135309817e-05,5
full_fp32_trained,learned,1213,0.008,0.09832747088779775,0.06352154531946509,4.936489607390301,5.527994853258133,5.5279744327068325,5.527994853258133,2.0420551300581735e-05,6
full_fp32_trained,rope,42,0.0,0.00010578013836411684,0.9996515679442509,82.82332563510393,,,,0.0,0
full_fp32_trained,rope,42,0.01,0.01581005505864724,0.9958188153310105,82.50577367205543,0.7558060141745955,0.7557744666468352,0.7558060141745955,3.154752776024505e-05,1
full_fp32_trained,rope,42,0.025,0.026414998252829443,0.9878048780487806,81.8418013856813,0.8085091507527977,0.8084776509087532,0.8085091507527977,3.1499844044491354e-05,2
